微博正文,发布时间,ip
看来你cn上层已经蠢到了这个地步，民间也傻傻相信，真的和当时苏德一模一样你们到底知不知道啊？！直接拉起反fxs的大旗！巴以冲突两国方案直接来，然后多一点援助eu，得子亲rus已经背刺🐔鸡了，除了大波波其余人都害怕，也恨你cn不出力，加上你cn根本无法对rus施加影响力，你尽快多援助eu，和ame硬果直接达成反fxs同盟，能拉拢的尽快拉一批队友如果你不信，就要像最初苏联那样要见血，好多北方无辜的人要因此牵连！分清主次矛盾！我们不能失去北方，甚至被图图所有人！,2024/1/2 16:53,广东
看纳书记讲屁话，有一种看黑缠头自创八股文的感觉看缅北的新闻，发文和电视台报道，则有一种小雷音寺的感觉#巴以冲突##以军已恢复军事打击行动##以色列轰炸后的加沙尸横遍野#,2024/1/4 17:41,广东
汪文斌的斌糖哇哇哇也太快了叭一周结束啦🔚收到汪司的“周末愉快！”了嘛1大段常谈“新疆问题”好好霸气2对子虚乌有的报道“眼神杀”3🇰🇵半岛问题4巴以冲突加沙地带伤亡5朝俄武器交易与乌克兰危机下周下周一定还是汪司当值啊！这样龙年春节祝福就没跑了哈哈下周要跟会马尔代夫了不耽误轮值吧🙏🙏#汪文斌#期待,2024/1/5 17:49,河南
【英国油轮在也门荷台达海岸爆炸起火】#巴以冲突#英国海军：荷台达港附近报告发生红海海上事故。英国海事贸易运营部正在调查港口西南约55海里处发生的一起事件。（视频来源网络）L兔子军事分享的微博视频,2024/1/1 19:15,广西
半岛电视台前线报道：以色列占领军撤出了巴勒斯坦加沙市的Al-Maqousi地区、Al-Fayrouz塔和Darabiyah环岛街，这里有大规模的破坏迹象。#巴以冲突#L沙姆雄狮_EL的微博视频,2024/1/2 16:51,陕西
#以色列女主播直播中腰间别枪#【巴以新一轮冲突持续，#以色列女主播被拍到在直播中腰间别枪#，网友争议】巴以新一轮冲突持续近三个月之际，一张“以色列女主播被拍到在直播中腰间别枪”的照片，近日在社交媒体上传播并引发关注。对于这一举动，有网友表示赞同，认为需要做好准备，但也有网友质疑：如果巴勒斯坦人这样做，可能会被视作“恐怖分子”……据印度《自由新闻期刊》3日报道，这名以色列主播名为利塔尔·谢梅什，照片是在本周二（1月2日）一档节目期间拍摄，当时谢梅什正在演播室进行直播，照片显示一把枪别在她的腰间，紧挨着麦克风的位置。《自由新闻期刊》称，谢梅什作出这一举动之际，以色列正面临复杂的安全环境和持续不断的冲突，许多妇女选择用枪支武装自己。当地时间3日，社交媒体X显示为谢梅什本人的一个账号转发相关报道，并配文称，“别惹犹太女人。”对于谢梅什的这一举动，社交媒体X上网友反应不一。有人表示赞同，认为需要随时随地做好准备，“很棒。我们有太多嗜血的敌人。我们必须随时随地做好准备。”“好样的！！我也会这么做。”有网友则认为这一举动有点用力过度，“在演播室里，你不觉得有点过吗？”也有网友不赞同谢梅什的做法，并提到以色列对巴勒斯坦的“压迫”，“他们知道这不是他们的家，他们被当作小偷，压迫者永远不会感到安全。”此外，还有网友质疑目前舆论场存在的一种“双标”行为：“如果一个巴勒斯坦人用武器来保护自己，他就是恐怖分子，但如果一个以色列人这样做，他们就是无辜的，还会受到赞扬。”L环视频的微博视频,2024/1/4 17:30,
俄乌冲突，拜登政府的最大阴谋即将显形（雪后从景山俯瞰故宫）1）2022年2月24日，俄乌冲突爆发，迄今已经有650多天了。乌克兰“夏季大反攻”失败、新一轮巴以冲突爆发、冲突久拖不决带来的“关注疲劳”等，让俄乌冲突似乎正在从国际新闻的主要版面“消失”。这场延宕多时、极其残酷、给乌克兰国家带来巨大灾难的冲突，正在成为一场“被遗忘的战争”。2）我在几个月前就认为，随着乌克兰反攻乏力，俄乌冲突已经进入到了“垃圾时间”。俄罗斯在吸取了冲突早期的教训之后，稳扎稳打，在前线依靠地雷、无人机和大炮等，建立了稳固的重重阻击战线。在乌克兰所谓的“夏季大反攻”中，乌军多数时候连第一道防线都未能突破。美西方媒体普遍认为，俄罗斯在接收了来自伊朗大量炮弹和无人机供应后，已经在战场上建立起了相对于乌军稳固的防守优势。俄军目前的状态就是好整以暇、以逸待劳——“你要打，我就狠狠把你打回去；你要谈，我随时欢迎。”3）乌军在“夏季大反攻”中，损失了大量有生力量和关键武器装备。被西方媒体炒得“火热”的关键装备——德国的豹式坦克、美国的布拉德利战车、M1A1坦克等，根本没有发挥“决定性”的作用，西方援助乌军的装备被打烂的场面，在社交媒体上随处可见。对于中国人来说，这一局面一点都不奇怪，武器从来都不是决定战争胜负的最重要因素。说到乌军的损失，以美国为首的北约，按照美军“模子”，打造的九个乌克兰“精锐旅”，同样遭遇了严重损失。目前，乌军士气低落，缺乏稳定的武器弹药供应，缺乏海空军，已经到了精疲力竭、打不动的时候了。4）偏偏在这个时候，美国国内开始上演一出有关是否继续援助乌克兰的“内斗”戏码。拜登本人及其高级官员轮番上阵，冲着美国民众和国会喊话，要求尽快通过对乌克兰的600亿美元追加援助。但是，美国国会不为所动，这两天刚刚否决了这项计划。拜登政府显得“非常着急”，匆忙之下，邀请乌克兰总统泽连斯基访问华盛顿，让他直接面向美国民众和关键的国会成员做工作。5）对于拜登政府来说，俄乌冲突持续近两年，这一二十一世纪到目前为止欧洲最大的地缘政治危机，终于从美国的“高光时刻”，演变成了拜登政府的“烫手山芋”。在俄乌冲突爆发之初，美国白宫内部有一些人感到“狂喜”——可逮着机会狠狠地“揍”俄罗斯了。美国政府成功煽动起美国和欧洲民众对俄罗斯和普京个人的恐惧与仇恨，在短时间内组建了看似稳固的“反俄统一战线”，对俄罗斯发起了史无前例的制裁，让俄罗斯在战略和外交上处于极端孤立的状态。俄罗斯与欧盟之间的能源合作被美国“扼杀”掉了，俄罗斯与欧盟在冷战后的和解与合作进程被美国“打掉”了，欧洲对抗的铁幕再次降下。此外，一时间，冷战时期对俄罗斯的“旧恐惧”，让很多欧洲老百姓和领导人再次转向武装自己。特朗普通过各种威逼利诱手段，想让美国的北约盟友将军费开支提高到占GDP的2%，但却一直未能成功，拜登政府通过在俄乌冲突上布局，轻而易举就达到了这一目标。说拜登是“老狐狸”，真的是一点都不夸张。6）实际上，除了“以乌制俄”和“因俄控欧”，拜登政府在俄乌冲突上还有一个极其恶毒的隐含战略目标，那就是通过俄乌冲突，大大巩固和加强以美国为首的同盟体系，通过拿俄罗斯开刀，为未来对中国下手作演练。拜登政府一方面希望利用美西方对俄罗斯的恐惧和憎恶，将中俄“打包”处理，孤立和打击中国；另一方面，拜登政府也希望把针对俄罗斯的“那一套”制裁等策略，转向用来对付中国。7）但是，拜登政府显然高估了自己的实力，低估了中国的智慧，更低估了全世界对美国霸权主义的反感。美国诱发俄乌冲突，“趁俄罗斯病，要俄罗斯命”，最终将俄罗斯推向了“中国的怀抱”，这是俄乌冲突中美国地缘政治战略上最大的败笔。布热津斯基等人早就警告过的“噩梦”，正在成为美国必须面对的现实。中俄联手，成为制约美国霸权主义冲动的最大力量。除此之外，拜登政府将美元“武器化”、将美国在全球供应链和产业链中的优势“武器化”，引发了世界各国对于高度依赖美国的不安全感，推动了全球范围内新一轮的“去美元化”浪潮。就中国而言，在俄乌冲突灵活应对，高举“劝和促谈”的大旗，不仅巩固和加强了中俄之间正常的合作，而且让美国意识到，把中国拖下水是不可能的，让欧洲跟着美国像对付俄罗斯一样对付中国也是不可能的。在某种程度上，俄罗斯相当于在如何应对美西方极限制裁方面给中国“打了样”——我们原本预计到帝国主义会非常凶残和不讲道理，通过俄乌冲突，我们才知道，他们是如此凶残和不讲道理。8）现在，俄乌冲突在战略上对于拜登政府来说已经成了“鸡肋”——食之无味，弃之可惜。美国依然可以通过不断援助乌克兰，再给俄罗斯带来一些零敲碎打式的伤害，但是，美国已经无力改变俄乌冲突战场上的走向了。对乌援助则有可能成为本已捉襟见肘的美国政府财政，必须面临的一个“无底洞”。美国政府在向乌克兰提供了1100亿美元援助之后，最新的600亿美元对乌援助计划在美国国会受阻，一点也不令人意外。美国民众对任何一场对外战争的支持度，都会随着时间的推移不断下降，这是历史一再反复证明过的事情。9）实际上，俄乌冲突到了这一步，停战、和谈，是唯一的出路。但是，拜登政府面临怎么“体面地退场”的问题。如果现在就直接举起白起，对俄罗斯妥协，在面子上、在叙事上都说不过去。因此，拜登政府必须演好这场“谢幕前的最后一场戏”。这出戏有多个叙事上的准备：——承认乌军“夏季大反攻”失败；——放风说，乌军很难夺回被占领领土；——指责乌克兰内部腐败、无能，推卸责任；——在美国国内围绕是否继续援助乌克兰上演“内斗”大戏，拜登政府一面在口头上表现得一副积极为乌克兰争取援助的样子，一面为最终停止援助，迫使乌克兰接受“战败”的结果做好准备。这就是我说的，拜登政府最大的阴谋——美国政府已经从俄乌冲突中拿到了它能拿到的一切，美国已经在盘算如何退场了。美国国会在对乌援助上表现出来的激烈反对意见，正好可以成为拜登政府从俄乌冲突中脱身的理由。10）2024年，美国国内最大的事情是选举，俄乌冲突、巴以冲突，都不过是这场选举中的一个议题而已。目前，拜登政府已经给乌克兰开出了2024年的“药方”——稳固防守、自力更生。乌克兰作为美国又一个“始乱终弃”的棋子和炮灰，已经完了，被美国控制的泽连斯基同样已经完了。俄乌冲突爆发650多天后，我们可以再次盘算一下：——俄罗斯不仅在战场上牢牢占据了主动，而且，依托中俄关系、金砖国家组织、上合组织等，正在走出战略和外交上的孤立；——美国在俄乌冲突上还没有脱身，巴以之间重燃战火，美国作为一个衰落中的帝国，在国际上麻烦一大堆；——百年未有之大变局加速演进，美国在中美博弈上也显露出了“疲态”，对中国的遏制和打压并未达到预期中的效果。中国现在还没有进入“战略反攻”，否则，美国会更加被动；——中国、俄罗斯和伊朗在上合组织、金砖国家组织中，关系更加紧密，这在未来将成为反击美国霸权主义的中坚力量，并让美国政府一步一步感受到这个地缘政治“噩梦”的可怕性；——拜登政府如果处理不好俄乌冲突，这甚至有可能成为葬送他连任机会的“负担”。“机关算尽太聪明，反误了卿卿性命。”用《红楼梦》中的这句话，来形容拜登政府在俄乌冲突中的处境，非常贴切。“沉舟侧畔千帆过，病树前头万木春。”用唐朝诗人刘禹锡的这句诗来形容今天的国际形势，同样非常贴切。从1945年第二次世界大战结束算起，美国在世界舞台上要风得风、要雨得雨的日子，正在走向结束。从1492年哥伦布“发现新大陆”算起，过去500多年来，西方逐步征服和控制世界的历史，正在走向终结。一个新的的时代、一个更好的时代，正在来临。在这个时代，高举和平、合作、发展、共赢大旗的中国，将与广大新兴市场和发展中国家一道，扮演着越来越重要的角色，并为中国人民和世界人民带来真正的独立和繁荣。,2024/1/5 17:41,上海
【以色列空袭贝鲁特黎巴嫩总理谴责并向联合国提交正式投诉】#巴以冲突#当地时间1月2日晚间，据黎巴嫩外交部声明，应黎巴嫩总理米卡提要求，已向联合国安理会提交关于2日晚间以色列无人机袭击黎首都贝鲁特南郊事件的正式投诉。据媒体报道，当地时间1月2日晚，黎巴嫩总理米卡提对以色列空袭黎首都贝鲁特南郊事件表示谴责，称其目的是让黎巴嫩进入一个新的冲突阶段，此前黎巴嫩南部地区每天都有袭击事件发生，已造成大量人员伤亡。他警告以色列不要将战事延伸至黎巴嫩南部地区。,2024/1/3 19:18,
【以色列将从加沙撤出部分部队】以色列军方在当地时间1日表示，以方将从加沙地带撤出部分部队，这是自去年10月巴以新一轮冲突以来，以方首次大规模撤军。美国海军1日表示，在地中海为以色列提供保护的航空母舰打击群将启程回国。路透社1日援引以色列军方人士的话报道称，以色列将从加沙撤出部分部队，转而对巴勒斯坦伊斯兰抵抗运动(哈马斯)采取更有针对性的行动，并让部分预备役人员重返普通生活，以帮助该国经济发展。撤出部队中的一部分将为可能在黎巴嫩爆发的针对真主党的第二阵线做准备。O以色列將從加沙撤出部分部隊　美國決定從地中海撤回航母,2024/1/2 16:51,
以色列国防军刚刚袭击了位于加沙汗尤尼斯的红新月会总部，据报道有人员伤亡。#巴以冲突##中方回应伊朗恐怖袭击事件#LA小组的战利品的微博视频,2024/1/4 17:28,广东
太和智库高级研究员钱峰持续关注中东局势。#巴以冲突#L太和智库的微博视频,2024/1/5 17:40,北京
巴以冲突以来，土耳其的表现真是让人刮目相看。#以色列巴勒斯坦爆发军事冲突##乌克兰俄罗斯爆发军事冲突#,2024/1/3 19:15,北京
加沙卡萨姆旅发布了一段介绍他们的各型火箭的视频#巴以冲突##2024继续出发#L猪霸苍穹的微博视频,2024/1/2 16:31,广西
加沙战况，哈马斯二号人物被清楚，胡赛武装继续在红海搞事情，俄乌互有攻击，到总体局面僵持（信息来自自媒体）#巴以冲突##胡赛武装##中东局势##俄乌局势#L漢洋映畫的微博视频,2024/1/4 17:28,广东
以色列军队在巴勒斯坦约旦河西岸地区的拉马拉市处决了17岁青少年的UsaidRimawi，并开枪重伤了另外两名冒着生命危险试图帮助他的男子，三个人均未持有武器。#巴以冲突#L沙姆雄狮_EL的微博视频,2024/1/5 17:34,陕西
巴勒斯坦加沙市萨拉赫丁街，一名儿童躲避以色列狙击手的射击。#巴以冲突#L沙姆雄狮_EL的微博视频,2024/1/6 15:52,陕西
#巴以冲突#美国航母走了，以色列部队也悄悄从加沙撤军了。从画面中看到，以色列坦克已经开始从加沙撤军，美国航母福特号也已经悄悄地返回美国军事基地。但以色列不承认巴以战争的失败，美其名曰：今日撤军是为了寻求更长期的战争。由于全世界和以色列国内的反战游行，人们越来越厌恶战争，对加沙贫民的遇难表示极大的同情和声援，再加上美国的反对，士兵受伤和死亡人数攀新高，压力越来越大，不得不改变战争格局。实质上就是战争失败而告终。L勤奋de班长的微博视频,2024/1/3 19:15,江苏
#巴以冲突#【哈马斯又一名恶魔被以色列定点清除！】以军方1月1日通报，被列入重点打击名单的臭名昭著的哈马斯恐怖分子头目阿德尔·梅斯马(AdelMesmah)，当天在地面特种部队引导下被空军投掷的制导炸弹定点清除。阿德尔·梅斯马是10月7日基布兹大屠杀的现场指挥官，共有100多名村民被残酷屠杀。以色列军方在开始加沙地带军事行动时，将其列入重点清除的扑克牌名单。现在终于为无辜遇难者报仇雪恨。,2024/1/2 16:31,江苏
荷兰和沙特阿拉伯谴责以色列强迫巴勒斯坦人移民的呼吁荷兰表示，以色列国家安全部长伊塔马尔·本-格维尔和财政部长比撒列·斯莫特里赫呼吁巴勒斯坦人自愿从加沙地带迁移是“不负责任的”。声明称：“荷兰拒绝任何要求巴勒斯坦人离开加沙或缩小巴勒斯坦领土的呼吁。这不符合未来的两国解决方案，即一个可行的巴勒斯坦国和一个安全的以色列。”周三，沙特阿拉伯也谴责了这些言论，并强调国际社会努力追究以色列责任的重要性。约旦国王阿卜杜拉和埃及总统阿卜杜勒·法塔赫·塞西也拒绝了以色列驱逐加沙和被占领的约旦河西岸巴勒斯坦人的任何举动。#巴以冲突#,2024/1/4 17:23,内蒙古
【加沙已有2.2万巴勒斯坦人死亡，美国务院发言人仍然坚称“未见加沙有种族灭绝迹象”】据路透社报道，美国国务院发言人马修·米勒1月3日表示，没有看到加沙地带有种族灭绝行为的迹象。据加沙地带卫生部门1月4日公布的数据，本轮巴以冲突爆发以来，已有22438名巴勒斯坦人死亡，超过5.7万人受伤。由于加沙地带正持续遭受攻击，过去24小时，当地有约125人死亡，318人受伤。L动静新闻的微博视频,2024/1/5 17:25,
#巴以冲突#在以色列议会的讨论中，一名官员呼吁摧毁近东救济工程处:“如果我们不摧毁近东救济工程处，就不可能赢得战争，而这种破坏必须立即开始”。（来源:X原推特）L孤烟暮蝉的微博视频,2024/1/6 15:51,广东
暗“沙”计划：不惜一切代价#哈马斯高级成员在黎巴嫩遭以军空袭身亡##巴以冲突#L长老财经的微博视频,2024/1/3 19:12,广东
阿夫迪夫卡北翼方向俄军再次控制了别尔蒂奇东北部的森林带，推进范围达1km宽，深度达150m。#俄乌局势新进展##巴以冲突#海岸猎人水相,2024/1/2 16:31,广西
庞大的军费开支是联邦政府国债居高不下的主要原因之一，据美国国会研究服务部统计，从1946年到2023年，美国为以色列提供了累计约2600亿美元的经济和军事援助，自本轮巴以冲突爆发以来，美国通过244架运输机和20艘舰船向以色列运送了1万多吨军事装备L邓如山的微博视频,2024/1/4 17:19,浙江
以色列官推转了个帖子#极端组织宣称对伊朗爆炸袭击负责##伊朗爆炸事件死亡人数上升至103人##巴以冲突#,2024/1/5 17:14,北京
“我今早刚杀了两个孩子”，这是以色列士兵在直播间说的话，直播对面主播问他，你们杀巴勒斯坦的孩子了？以色列士兵回复“是的，我今早只杀了两个，今天是个好日子。”说这话的时候，以色列士兵满满的自豪感。#巴以冲突#,2024/1/1 19:13,福建
据报道，1月5日，以色列国防长加兰特正式宣布称：在巴以冲突结束后，巴勒斯坦政府阿巴斯接管加沙地带的民事事务，加沙地带的军事安全由以色列来保持控制，美国和其他国家则负责监督重建工作。#巴以冲突#,2024/1/6 15:38,福建
☄️巴赫穆特方向俄军沿着博格丹诺夫卡以东通往恰索夫亚尔铁路小幅前进。欢迎加入:消息实况互动群#俄乌局势新进展##巴以冲突#海岸猎人水相,2024/1/3 19:06,广西
"#巴以冲突#以色列驻华大使馆：""警告⚠️图片内容可能引起不适⚠️网友：所谓的“引起不适”的图片在哪里？怎么你IP地址又在中国香港了？#黄媒不会说的真相#",2024/1/2 16:25,重庆
伊拉克官员悼念在美军空袭中身亡的军官，脚踩美国和以色列国旗，现场有数千名掉念者高呼，谴责美国以色列的口号。#巴以冲突#LWS偏执狂的微博视频,2024/1/4 17:16,重庆
以色列称在加沙战场上发现哈马斯使用大量中国制造的武器以往我们还解释解释，现在根本就不鸟它，直接用图二回复图源网络#红海危机##巴以冲突#,2024/1/1 19:13,湖北
斯瓦托沃方向乌方频道确认俄军向普洛斯恰卡以西推进，控制马基伊夫卡以东一些地区。欢迎加入:消息实况互动群#俄乌局势新进展##巴以冲突#海岸猎人水相,2024/1/6 15:34,广西
卡塔尔半岛电视台发布了哈马斯武装下属卡桑旅使用的中国M99大口径狙击步枪的宣传画其实这是农用的，我们驱鸟的#巴以冲突#,2024/1/3 19:06,内蒙古
2023年是丹麦女王玛格丽特二世第52次、也是最后一次发表新年讲话。在这次特别的新年致辞中，女王的演讲涉及了世界现状的广泛主题，如巴以之间的冲突和分歧、俄罗斯对乌克兰发动的侵略战争、全球气候变化和人工智能的发展；同时，演讲也涉及了个人层面，比如王子克里斯蒂安的十八岁成人礼。然而，有一件事非常重大，那就是她史无前例地宣布了自己的退位与王位的传承。女王对丹麦民众对她这些年的信任和支持表示了感谢，宣布将于2024年1月14日退位，并将王位传给自己的长子——丹麦王储腓特烈。一起来看演讲全文（丹中双语对照）：O丹麦女王玛格丽特二世第52次新年致辞，宣布本月即将退位,2024/1/2 16:19,北京
#俄乌局势##巴以冲突#每当看到这种图片，内心就充满了憎恨和厌恶！！！全世界，中国最有理由有权利有义务咒骂本子侵略者和当今的余孽们！！！用什么语言都可以！！！,2024/1/4 17:08,河北
【继乌克兰和加沙后，#全球下一个火药桶可能在哪引爆#】从2022年爆发的俄乌冲突，到2023年爆发的巴以冲突，全球地缘政治风险正持续加剧。今年10月，联合国预计，全世界已经有超过1.14亿人因战争和冲突而流离失所。而目前，这个数字可能已经更高。本月早些时候，国际救援委员会（IRC）公布了2024年的紧急观察名单，列出了全球安全恶化风险最大的20个国家，这些国家人口约占全球总人口的10%。分析人士警告称，目前全球范围内，潜在的“灾难性”冲突数量已经达到空前，在2024年，下一个“火药桶”随时可能被引爆。苏丹在国际救援委员会的观察名单上，全球安全恶化风险最大的国家是非洲第三大国家——苏丹。2023年4月15日，苏丹武装部队与苏丹快速支援部队之间爆发武装冲突。尽管在沙特等国斡旋下，冲突双方举行了谈判并多次达成短暂停火协议，但都未能有效落实执行。国际救援委员会表示，这场冲突现在已经扩大为“大规模的城市战争”，并有严重的地区蔓延风险。该冲突已经导致2500万人急需人道主义援助，600万人流离失所。然而国际社会对这场冲突的关注“微乎其微。”国际危机组织研究主任伊莎贝尔·阿拉东（IsabelleArradon）警告，苏丹达尔富尔地区除了持续存在进一步大规模暴行的风险外，还有可能发生“全面的种族冲突”，吸引该地区更多的武装团体。“目前和平倡议非常有限。很明显，在全球层面上，有很多分散注意力的事情，所以我认为，苏丹的局势目前还没有在高层进行足够认真的停火谈判，因此需要更大的努力。”分析人士认为，从苏丹涌入邻国南苏丹和埃塞俄比亚的难民潮加大了溢出效应的风险。这两个国家本身也受到内部冲突、气候变化和极端经济困难的影响。刚果民主共和国、卢旺达当地时间12月31日，刚果民主共和国（刚果(金)）的最新一轮大选刚刚落下帷幕，该国国家独立选举委员会宣布，刚果（金）现任总统齐塞克迪成功连任，将继续担任该国新一任总统。然而，这场选举却全程充斥着混乱和暴力。由于选举设备不到位等问题，多地投票站投票进程滞后，导致大量选民无法及时投票。五名反对派总统候选人对选举进程表示异议，不仅要求重新投票，而且不顾政府禁令组织游行示威，导致多地爆发暴力冲突，多名警察和民众因此受伤。此次政治动荡正值刚果（金）东部持续处于武装冲突和普遍贫困之际，明年初，该国将举行进一步的地区选举，这可能成为暴力冲突升级的导火索。危机分析人士认为，由于刚果（金）反对派长期以来一直怀疑该国选举委员会的独立性，对选举结果的争论可能会持续很长时间，这可能引发进一步的冲突，并对整个地区产生影响。“我们非常担心发生严重危机的风险。我们在2018年已经看到，投票争议是一个大问题，而且现在还出现了卢旺达支持的M23（叛军），他们正在增加战斗，并且非常接近（城市）戈马。”M23叛军于2021年11月再次出现在刚果（金）东部的北基伍省，自2022年底以来，随着他们扩大攻势，人权组织已指控他们犯下多项明显的战争罪。据称，邻国卢旺达已经向刚果（金）东部部署了军队，为M23提供直接军事支持，这加剧了两国之间的紧张关系，也促使联合国秘书长安东尼奥·古特雷斯一再对“直接对抗”的风险表示担忧。分裂和不信任的政治背景，持续的武装叛乱和极端的社会经济压力，都可能促使该地区成为明年大规模冲突爆发的沃土。缅甸2021年2月以来，缅甸国内紧张局势加剧。而国际救援委员会和政府间委员会都担心，缅北的冲突可能会在2024年升级。据央视新闻报道，缅甸可以说是第二次世界大战以来，全世界内战持续最久的国家。中国外交部发言人毛宁在近日接受采访时表示：“当前，缅甸果敢自治区安全形势严峻复杂，我们提醒中国公民暂勿前往缅北地区，呼吁已在当地特别是老街市区的中国公民尽快转移至安全地带或回国，做好安全防范。”毛宁说，中方始终认为，维护停火和谈势头符合缅甸相关各方利益，有助于维护中缅边境安宁。希望缅甸相关各方彼此保持最大克制，主动缓和现地局势，共同推动缅北局势软着陆，同时采取切实举措，确保中方在缅人员机构和项目安全。“最糟糕的时代”除上述国家地区之外，国际救援委员会还对萨赫勒地区（非洲中北部的布基纳法索、喀麦隆、乍得、尼日尼亚等多国）、海地、危地马拉和埃塞俄比亚等国家或地区的安全风险提出警告。国际救援委员会主席兼首席执行官戴维·米利班德（DavidMiliband）表示，对该组织所服务的许多人来说，这是“最糟糕的时代”，因为他们面临气候风险持续加剧、冲突地区不断增多、公共债务不断上升、国际支援日渐减少等众多困境。“今天的头条新闻都是加沙危机。这是有充分理由的——加沙目前是世界上平民生活最危险的地方。”米利班德表示，“但我们观察名单为所有人带来重要的警示：世界其他地区也在着火，原因是与冲突、气候和经济有关的结构性原因。我们必须能够同时解决多个危机。”国际危机组织的阿拉东警告，全球冲突死亡人数目前已经达到2000年以来的最高水平：“所有的危险信号都在那里，最重要的是，解决冲突的手段短缺。我们面临很多地缘政治冲突，但各方解决这些致命冲突的意愿却不强。”（财联社）,2024/1/1 19:06,
红利曼方向乌方频道确认俄军对克鲁格拉亚沟壑及其以北地区进行推进，新控制宽达1.25公里、纵深达1.95公里的地区。欢迎加入:消息实况互动群#俄乌局势新进展##巴以冲突#海岸猎人水相,2024/1/6 15:32,广西
暗杀“肯定会进入政治死胡同”前联合国特别报告员迈克尔·林克表示，杀害哈马斯领导人只会增强巴勒斯坦人的决心。“暗杀你的反对派的政治或军事领导人——尤其是你一直征服的人民的领导人——不会有任何结果。我们从过去80年的反殖民运动中知道了这一点。对于那些想要实现自由的人来说，暗杀他们的领导人只会增强他们的决心，而不会减弱他们的决心”，林克这样告诉半岛电视台记者。他强调了英国政府和爱尔兰共和军之间多年的对抗，直到英国意识到谈判才是“给北爱尔兰带来一点点和平的唯一途径”。“这就是这里需要的是一个政治进程。当你不向你所征服的人提供任何形式的通向自由的政治视野时，你就会遭遇抵抗、叛乱和报复。暗杀这些领导人肯定会进入政治死胡同。”#巴以冲突#,2024/1/3 19:05,内蒙古
据报道#红海局势升级风险陡增#，#英美拟联合打击胡塞武装#本轮巴以冲突升级以来，美国首次杀死由伊朗支持的也门胡塞武装成员，地区冲突扩大的风险骤然升高。,2024/1/2 16:12,北京
以色列军队将一批在加沙战斗中受伤的士兵转移到索罗卡医院。（来源见水印）#巴以冲突#L沙姆雄狮_EL的微博视频,2024/1/1 19:05,陕西
布林肯自巴以冲突爆发以来第四次访问中东，首站于5日落地土耳其。这一次，土耳其方面依旧以一个“潦草”的仪式迎接布林肯——低级别官员、没有红毯、没有欢迎仪式。或许，布林肯已经预料到且习惯了土耳其的态度。因为在这次巴以冲突中，土耳其的表现可谓是出人意料的“强硬”，只不过这种强硬更多是停留在口头层面，包括总统埃尔多安对以色列数次令人惊讶的评价。埃尔多安这些年在大国之间拿捏得越来越“随心所欲”。就拿战机和防空系统来说，三个世界大国都被它忽悠过，最终落了个空欢喜一场。不过，如今埃尔多安似乎陷入了玩过头的尴尬境地。在这次巴以冲突中，土耳其不是主角，布林肯之所以将首站选在这里，一个主要原因是瑞典入伙北约，土耳其成为仅剩的反对方。目前来看，土耳其议会在1月中旬议会休会结束后将举行投票，决定是否同意瑞典加入北约。在此之前，布林肯需要“吹吹风”，希望别再出岔子。布林肯很清楚土耳其的交换条件——F-16战机。这已经是土耳其降低标准后的要求。虽然美国政府没有太大意见，美国国会却不同意，原因之一是土耳其与希腊的关系一直不好。所以，在访问土耳其之后，布林肯的第二站是希腊。至于这场“交易”是否如美国所愿，还要看价码谈到什么程度。,2024/1/6 15:17,巴基斯坦
【#以军过去24小时对加沙地带军事行动造成至少128人死亡#】据加沙地带卫生部门当地时间1月3日14时消息，过去24小时内，以色列国防军对加沙地带的空袭和地面军事行动造成至少128人死亡，261人受伤。#巴以冲突#,2024/1/3 19:01,
原来以色列和哈马斯是这样打仗的，网友制作的这个小视频挺有趣。#巴以冲突##不负责任转发#L林笛LD的微博视频,2024/1/2 16:06,上海
据悉……美、英和某欧洲国家预计将在未来几个小时内发表联合声明，宣布针对也门胡塞组织红海地区袭击，进行大规模军事行动。#胡塞武装##也门胡塞武装称向以色列发起打击##胡塞武装多次袭击红海及附近水域目标##巴以冲突##西方国家计划袭击胡塞武装##泰晤士报#L长安万里行的微博视频,2024/1/1 19:01,海南
法国：“以色列无权决定加沙的未来，因为加沙是巴勒斯坦的土地。”#巴以冲突#,2024/1/6 15:16,山东
以军继续爆破摧毁加沙地区的哈马斯武装建筑！#巴以冲突##军事##科技#L孙永杰的微博视频,2024/1/3 19:01,北京
#战争##巴以冲突#以军昨天宣布，加沙平推第一阶段胜利结束，战事将进入第二阶段，直到解救所有人质，及清除所有哈马斯为止。,2024/1/5 17:12,海南
